HSCode,Commodity,value,country,year
86,"RAILWAY OR TRAMWAY LOCOMOTIVES, ROLLING-STOCK AND PARTS THEREOF; RAILWAY OR TRAMWAY TRACK FIXTURES AND FITTINGS AND PARTS THEREOF; MECHANICAL",0.03,AFGHANISTAN TIS,2016
87,"VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STOCK, AND PARTS AND ACCESSORIES THEREOF.",,AFGHANISTAN TIS,2016
90,"OPTICAL, PHOTOGRAPHIC CINEMATOGRAPHIC MEASURING, CHECKING PRECISION, MEDICAL OR SURGICAL INST. AND APPARATUS PARTS AND ACCESSORIES THEREOF;",0,AFGHANISTAN TIS,2016
94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS, CUSHIONS AND SIMILAR STUFFED FURNISHING; LAMPS AND LIGHTING FITTINGS NOT ELSEWHERE SPECIFIED OR INC",,AFGHANISTAN TIS,2016
98,PROJECT GOODS; SOME SPECIAL USES.,0,AFGHANISTAN TIS,2016
99,MISCELLANEOUS GOODS.,0.01,AFGHANISTAN TIS,2016
7,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,33.98,AFGHANISTAN TIS,2015
8,EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,174.18,AFGHANISTAN TIS,2015
9,"COFFEE, TEA, MATE AND SPICES.",20.3,AFGHANISTAN TIS,2015
12,"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER.",5.08,AFGHANISTAN TIS,2015
13,"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",72.52,AFGHANISTAN TIS,2015
20,"PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS.",0.39,AFGHANISTAN TIS,2015
25,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT.",0.07,AFGHANISTAN TIS,2015
27,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES.",0,AFGHANISTAN TIS,2015
30,PHARMACEUTICAL PRODUCTS,,AFGHANISTAN TIS,2015
41,RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,,AFGHANISTAN TIS,2015
44,WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,,AFGHANISTAN TIS,2015
48,"PAPER AND PAPERBOARD; ARTICLES OF PAPER PULP, OF PAPER OR OF PAPERBOARD.",0,AFGHANISTAN TIS,2015
49,"PRINTED BOOKDS, NEWSPAPERS, PICTURES AND OTHER PRODUCTS OF THE PRINTING INDUSTRY; MANUSCRIPTS, TYPESCRIPTS AND PLANS.",0,AFGHANISTAN TIS,2015
51,"WOOL, FINE OR COARSE ANIMAL HAIR, HORSEHAIR YARN AND WOVEN FABRIC.",0.35,AFGHANISTAN TIS,2015
52,COTTON.,,AFGHANISTAN TIS,2015
61,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, KNITTED OR CORCHETED.",0.01,AFGHANISTAN TIS,2015
63,OTHER MADE UP TEXTILE ARTICLES; SETS; WORN CLOTHING AND WORN TEXTILE ARTICLES; RAGS,0,AFGHANISTAN TIS,2015
71,"NATURAL OR CULTURED PEARLS,PRECIOUS OR SEMIPRECIOUS STONES,PRE.METALS,CLAD WITH PRE.METAL AND ARTCLS THEREOF;IMIT.JEWLRY;COIN.",0.02,AFGHANISTAN TIS,2015
74,COPPER AND ARTICLES THEREOF.,,AFGHANISTAN TIS,2015
76,ALUMINIUM AND ARTICLES THEREOF.,0.02,AFGHANISTAN TIS,2015
82,"TOOLS IMPLEMENTS, CUTLERY, SPOONS AND FORKS, OF BASE METAL; PARTS THEREOF OF BASE METAL.",0,AFGHANISTAN TIS,2015
84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF.",0,AFGHANISTAN TIS,2015
85,"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS,AND PARTS.",0.03,AFGHANISTAN TIS,2015
87,"VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STOCK, AND PARTS AND ACCESSORIES THEREOF.",0.04,AFGHANISTAN TIS,2015
90,"OPTICAL, PHOTOGRAPHIC CINEMATOGRAPHIC MEASURING, CHECKING PRECISION, MEDICAL OR SURGICAL INST. AND APPARATUS PARTS AND ACCESSORIES THEREOF;",0,AFGHANISTAN TIS,2015
94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS, CUSHIONS AND SIMILAR STUFFED FURNISHING; LAMPS AND LIGHTING FITTINGS NOT ELSEWHERE SPECIFIED OR INC",0,AFGHANISTAN TIS,2015
95,"TOYS, GAMES AND SPORTS REQUISITES; PARTS AND ACCESSORIES THEREOF.",,AFGHANISTAN TIS,2015
98,PROJECT GOODS; SOME SPECIAL USES.,0,AFGHANISTAN TIS,2015
99,MISCELLANEOUS GOODS.,0.91,AFGHANISTAN TIS,2015
7,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,33.98,AFGHANISTAN TIS,2015
8,EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,174.18,AFGHANISTAN TIS,2015
9,"COFFEE, TEA, MATE AND SPICES.",20.3,AFGHANISTAN TIS,2015
12,"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER.",5.08,AFGHANISTAN TIS,2015
13,"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",72.52,AFGHANISTAN TIS,2015
20,"PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS.",0.39,AFGHANISTAN TIS,2015
25,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT.",0.07,AFGHANISTAN TIS,2015
27,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES.",0,AFGHANISTAN TIS,2015
30,PHARMACEUTICAL PRODUCTS,,AFGHANISTAN TIS,2015
41,RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,,AFGHANISTAN TIS,2015
44,WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,,AFGHANISTAN TIS,2015
48,"PAPER AND PAPERBOARD; ARTICLES OF PAPER PULP, OF PAPER OR OF PAPERBOARD.",0,AFGHANISTAN TIS,2015
49,"PRINTED BOOKDS, NEWSPAPERS, PICTURES AND OTHER PRODUCTS OF THE PRINTING INDUSTRY; MANUSCRIPTS, TYPESCRIPTS AND PLANS.",0,AFGHANISTAN TIS,2015
51,"WOOL, FINE OR COARSE ANIMAL HAIR, HORSEHAIR YARN AND WOVEN FABRIC.",0.35,AFGHANISTAN TIS,2015
52,COTTON.,,AFGHANISTAN TIS,2015
61,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, KNITTED OR CORCHETED.",0.01,AFGHANISTAN TIS,2015
63,OTHER MADE UP TEXTILE ARTICLES; SETS; WORN CLOTHING AND WORN TEXTILE ARTICLES; RAGS,0,AFGHANISTAN TIS,2015
71,"NATURAL OR CULTURED PEARLS,PRECIOUS OR SEMIPRECIOUS STONES,PRE.METALS,CLAD WITH PRE.METAL AND ARTCLS THEREOF;IMIT.JEWLRY;COIN.",0.02,AFGHANISTAN TIS,2015
74,COPPER AND ARTICLES THEREOF.,,AFGHANISTAN TIS,2015
